,Symbol,Contract,Date,Open,High,Low,Close,Volume
3262,TX,201709,2017/8/11,10234,10285,10185,10263,24286
3267,TX,201708,2017/8/14,10344,10357,10223,10278,319128
3272,TX,201709,2017/8/14,10298,10314,10171,10225,46306
3277,TX,201708,2017/8/15,10278,10331,10261,10272,285098
3282,TX,201709,2017/8/15,10227,10277,10206,10212,75978
3287,TX,201708,2017/8/16,10272,10319,10235,10254,215746
3289,TX,201709,2017/8/16,10212,10258,10190,10254,175492
3293,TX,201709,2017/8/17,10254,10324,10245,10284,282156
3298,TX,201710,2017/8/17,10239,10306,10230,10268,3900
3302,TX,201709,2017/8/18,10284,10286,10200,10266,337996
3305,TX,201710,2017/8/18,10266,10266,10186,10250,4454
3309,TX,201709,2017/8/21,10259,10280,10217,10273,238130
3313,TX,201710,2017/8/21,10242,10258,10200,10253,3930
3317,TX,201709,2017/8/22,10273,10406,10269,10403,249384
3322,TX,201710,2017/8/22,10253,10381,10248,10377,4772
3327,TX,201709,2017/8/23,10402,10419,10340,10360,292926
3331,TX,201710,2017/8/23,10376,10393,10317,10338,5306
3336,TX,201709,2017/8/24,10361,10494,10350,10468,278446
3340,TX,201710,2017/8/24,10337,10470,10330,10436,6376
3344,TX,201709,2017/8/25,10469,10511,10431,10492,242150
3347,TX,201710,2017/8/25,10445,10485,10408,10465,4374
3351,TX,201709,2017/8/28,10466,10515,10457,10506,228328
3355,TX,201710,2017/8/28,10453,10490,10434,10481,4592
3359,TX,201709,2017/8/29,10506,10508,10421,10471,288396
3361,TX,201710,2017/8/29,10472,10483,10399,10448,5320
3366,TX,201709,2017/8/30,10472,10552,10469,10541,293366
3370,TX,201710,2017/8/30,10448,10528,10446,10518,6604
3374,TX,201709,2017/8/31,10542,10581,10532,10560,260356
3375,TX,201710,2017/8/31,10520,10558,10511,10537,4688
3379,TX,201709,2017/9/1,10560,10598,10540,10592,219206
3384,TX,201710,2017/9/1,10540,10574,10520,10570,4408
3388,TX,201709,2017/9/4,10550,10579,10533,10564,195122
3392,TX,201710,2017/9/4,10532,10558,10515,10547,4054
3396,TX,201709,2017/9/5,10564,10590,10528,10555,244324
3401,TX,201710,2017/9/5,10546,10572,10512,10539,4052
3405,TX,201709,2017/9/6,10554,10570,10483,10531,347552
3408,TX,201710,2017/9/6,10537,10552,10466,10511,7870
