,Strike Price,Date,Open,High,Low,Close,Volume
15189,11600,2018-05-22,895.0,895.0,895.0,895.0,2.0
15190,8900,2018-05-22,8.6,8.6,7.6,8.0,80.0
15191,9000,2018-05-22,9.6,9.6,9.1,9.1,118.0
15192,9100,2018-05-22,10.0,10.5,8.5,10.5,132.0
15193,9200,2018-05-22,12.0,12.0,11.5,11.5,70.0
15194,9400,2018-05-22,14.0,14.5,14.0,14.5,28.0
15195,9500,2018-05-22,15.0,15.0,15.0,15.0,2.0
15196,9600,2018-05-22,17.0,19.5,17.0,19.5,8.0
15197,9700,2018-05-22,20.5,21.5,20.5,21.5,26.0
15198,9800,2018-05-22,24.5,24.5,23.5,24.5,56.0
15199,9900,2018-05-22,28.5,32.0,26.0,29.5,128.0
15200,10000,2018-05-23,37.5,57.0,34.0,50.0,512.0
15201,10100,2018-05-23,43.0,70.0,43.0,63.0,418.0
15202,10200,2018-05-23,62.0,86.0,55.0,80.0,292.0
15203,10300,2018-05-23,80.0,108.0,71.0,101.0,456.0
15204,10400,2018-05-23,101.0,138.0,89.0,134.0,272.0
15205,10500,2018-05-23,123.0,171.0,107.0,159.0,486.0
15206,10600,2018-05-23,159.0,214.0,150.0,214.0,120.0
15207,10700,2018-05-23,188.0,268.0,188.0,265.0,62.0
15208,10800,2018-05-23,238.0,318.0,238.0,318.0,108.0
15209,10900,2018-05-23,296.0,360.0,296.0,352.0,76.0
15210,11000,2018-05-23,389.0,465.0,356.0,465.0,114.0
15211,11100,2018-05-23,500.0,500.0,500.0,500.0,4.0
15212,11200,2018-05-23,520.0,520.0,520.0,520.0,2.0
15213,11300,2018-05-23,615.0,645.0,615.0,645.0,32.0
15214,11500,2018-05-23,875.0,875.0,875.0,875.0,2.0
15215,11600,2018-05-23,915.0,915.0,915.0,915.0,2.0
15216,8900,2018-05-23,8.5,9.5,7.8,9.5,174.0
15217,9000,2018-05-23,9.0,11.5,8.5,11.5,176.0
